ipc,UUID
C12N,21db563b-5b9f-42a6-a167-f64ba356a4f8
A61K,43028371-051f-44e3-83d3-5292427aa9bd
C07D,6000d7a8-432c-4119-9f51-af3f079f5e92
C12N,930f16bd-b942-402d-8a69-da187256f06e
C07D,f66c600c-0168-4d55-b9f2-d4ba7cfdfac9
G09B,f886ee45-6477-4615-abfc-56a54e3b24a2
A61M,c7e503d9-3891-47a3-9efc-edf55395e5a5
G06Q,c7fd7a6f-9deb-454a-bd7c-eaba826027fd
A61M,ca733304-1d3b-45e8-836f-a506266ee342
G06Q,ca999371-6562-4c34-9588-8024be240d0c
D01F,c3ab2100-6c72-4b48-8e8d-5a1e6f8475ca
G11C,c358f37d-98e9-4a17-aca9-3d68bcf1c472
A62B,d168f033-0ba5-4f65-a3c5-03b26fc69fc0
G05D,bc5e7ada-2836-4f14-9c6b-5e57c7a1c161
A62B,bebbafb3-63f5-4b4b-a425-54e6cc983827
C01F,ce05f882-16f0-4b92-afc8-abeb0ea433e0
A61L,c6ff916a-2ac8-424f-a9ed-26132cb3866e
A61M,c8ba0685-3535-4e61-9814-41c1413aa394
G04B,c8ba58af-cd12-40c4-b377-a47004ee642d
C12Q,c8c58883-cc7b-412d-8e20-b1f523efd37c
F41B,c8e52385-6cf2-4f6d-8d0c-46318b79ea7e
C08F,d1cd71bf-bbe2-4f28-ab82-2ec6f1d967eb
B62K,d61f92d6-1f94-4853-b24a-20af4e7b0ffb
C07D,d4bfc61e-3736-4bee-8f4b-2acd99f7b51d
A61K,d5695568-ef77-4b4b-b55e-b8240e10737e
A61K,d7595a4a-4ab4-48ad-9491-6ee03ff842d8
A61B,d83b3e78-ae70-4227-8b26-1197390534f5
H01L,db776cfc-910b-48c5-88ad-7266bcaca04e
C07K,db5cf3a5-5b5d-4a91-88f9-ee67772b126a
D06M,d292fcb8-ca22-4fb3-aca0-ba5840919807
H01M,d94ae9f9-fbfd-4c9e-90de-5190c747cfd7
G09B,d9f5d465-2df7-4a1a-9ae5-14aee09ffdb7
G01N,dad206d4-2daa-4ab9-a853-66084bc79e1f
B60K,da8fd1cc-32c6-4c18-84e8-bd131d71c616
C09D,e05f6d0a-5073-4c69-9507-36cae57f874f
G05D,de445d24-64d2-4e06-8685-6914e4c2493d
A61H,da2182a4-2f11-4a7b-b0e2-a89996e84e64
C07C,e193d980-42e5-482f-818e-7f8c205c1748
C09K,e17a3e04-68b0-4188-ae76-50c0e39e66e8
A63B,e17992ef-33a2-4d2e-873b-9cc2d7bdc6db
C07H,fcf54c60-8ed3-49ce-9eb2-772b9e592e0c
H01B,c3f9e905-710d-42f8-b6a1-55e3a43ee32d
H01M,c6225ab7-abc5-4d59-b1cd-f6bb9810338e
E02D,b7d1484a-3626-49e7-8762-9652b1eef13f
G11C,b9034716-fa66-4ce2-86fc-9e5ea9f14b0f
G11C,b5925c20-b67f-462e-b385-ab641f272fb3
H01M,8c00f786-2fb6-4ea6-82e6-d3757a86cb07
C02F,74bfb962-9bdf-4868-bd43-cab986bcf2b9
H01M,76e9386d-1777-4763-b81e-ec4ac0c5705d
C07F,2ac32f81-d7cc-4b20-99ee-eaf0d1fbcf73
A61K,49cfd5d3-46c0-470e-ba58-37249647e93b
G11C,4af20e04-e75a-4a6f-8fee-35cccb34a809
A61M,5f91c721-0902-4be1-9715-bebc1a94287a
A61K,82863883-e9f8-4fcc-b455-62b05065cd2f
G11C,95495d38-d05b-4a6d-a3c0-12a1625a4284
G11C,cb94064e-1129-4891-a351-faf4028b256f
G11C,e6801361-1384-4da8-ae65-4ed246e42bf5
C07F,ee7b926e-9e05-4f7b-9d41-adfb17fe9dba
C07D,37586b6d-b4b9-450e-bcbe-fe39096329bc
C08F,371d60c1-62e1-435a-bfe7-c6bf47aad5eb
C08G,3ab82fea-3f41-449f-ba77-01d273c86371
G11C,3992ea50-8951-4400-ba19-9c13ab68a1cc
G11C,3af99f77-e9ce-47c2-8020-a21a5d1cbb62
H04N,4167755b-1377-4bf8-938c-4e919dc06ab5
G01C,406ae6f4-35f6-4cb8-a593-7be91d3869d3
B32B,41abfbc4-a5b6-4f5b-94b2-db3f6a1a2800
B60R,41ef8f59-f310-4750-b35d-8e9fe92a52e4
G01N,45d11b07-4a0c-492e-83a9-acc8e37c8f63
C07D,45ff762c-2e39-4298-af54-0f35536ddf6e
A61K,46040d88-56c9-4473-8be3-785169f00758
F21S,466bc04d-2bf4-42be-b5c1-6cb3f6c74585
A61K,22adb6c1-0bb6-41bf-b402-26b39c2aa110
G11C,21c67999-d812-4325-abe7-5b2323d22611
H01L,27e65dcc-22cf-4110-8148-4e4de7e03e8c
C08G,28215961-c735-4af3-b393-25c421c60d84
E05B,508a6d78-1b58-4bd2-b83f-d8b77045c0ec
C10M,5084c0e8-241b-4df8-8202-1f8afb0b0824
G06Q,4e979db9-34f6-43e1-88d5-e54e2a4d1567
H03K,4d4fc7e8-6bb4-4357-998a-0bb8bd9530c0
G10K,38f1d349-6a55-4bba-bb72-2da2c33ea31a
B23Q,39ac7163-0734-45f7-8c8c-df4194c17654
A61K,3b73ee0e-c97c-4ca7-80e5-b8261caded9e
G11C,36abe18b-15c2-4b5a-9d23-606cd78fb48b
C12N,36b6116e-d2f6-42d5-a6dc-e587a1b3d58e
F03B,36c21cc0-fc60-487c-81f9-0b722b4effa3
A61N,3224a183-8655-4cf9-b47b-d6bad0ea7531
H02K,3a395a8c-7a66-4beb-bd47-1e1395afbdd0
B01D,3851feae-b027-4cf0-8096-2b15d0a123c6
A47C,383f1a96-9086-4336-b02f-ce54c057ece1
B29C,33573c12-6187-461d-81ba-4b145b9b8b04
G11C,44b4142d-6615-4f4b-b916-712c685a491e
H05K,4573363d-58fe-41ff-acd5-14938f94f1a3
C12N,4012a5bf-c925-4b2b-ac06-a465c54e7ff2
B26F,47ad4424-3278-40ee-b2e3-418d7a2c2007
G01S,4859e442-bfbf-4ddb-94ad-3b0234b33d7c
G03F,49078213-a964-4fd8-b0a0-64fd9e1150c8
A61K,48ff3efd-9b72-4b23-aa7d-330a5c61d5c5
G06Q,46d5cf1e-70aa-4ae9-9036-9695f6870b62
G11C,48bc4ee8-9507-4b2a-847d-2b7556da6357
A62C,58814692-b9cb-42fa-96a5-5f953e714864
G06Q,019bc030-203f-4719-8061-18d2c1ca4dce
A61K,022c7b40-ef31-46e7-b56c-bce1ff1d66c7
A47J,02668a5e-808f-4157-b972-da5bf21974ae
A61K,06683f2a-d8dc-42e4-8e88-7544541c1162
H01L,066b5783-a24f-4608-9c5e-3817153eeb4d
A61C,01bffd89-d931-4c17-960d-fa291f8c6d84
C12N,0607a1c3-d064-424e-8ee9-c6bce076bf8f
C08L,1145c961-19ce-4f5a-88dc-9d1a788a75b2
G11C,11745676-0acf-4e1d-9f28-3535231a4a6f
B32B,10832840-8736-42c5-aa37-7754bcbef9f0
G06K,12d0ef67-771c-4b65-9a4a-6e51c43cb0fc
G08B,113add2e-1b67-45e9-961a-0800908d2797
H01Q,13e08ab3-db00-4533-b80b-4f548db0e9fc
A62C,1381d948-4d23-4d87-a395-64fa5fb11a65
C02F,132f5ff9-fc7e-4fd9-838b-86aba7a143fd
A61B,1784009b-d6d1-4981-a32e-86ca726923ea
